symptom,disease
"I keep having been sick multiple times, hot burning sensation, bloating, lost my appetite and feelin sick to my stomach for a while now.",gastritis
"I've been dealing with bloating, not feeling hungry at all, stomach pain, burning feeling, the urge to vomit, indigestion and also vomiting a lot.",gastritis
"I've been dealing with the urge to vomit, stomach pain, indigestion, bloating, vomiting a lot and lost my appetite.",gastritis
"I'm struggling with indigestion, puking, stomach pain, feeling sick to my stomach, stinging burn and no desire to eat and I don't know what to do.",gastritis
"I feel stomach pain, bloating plus been sick multiple times.",gastritis
"I keep having not feeling hungry at all, indigestion plus throwing up.",gastritis
"Recently I've been having acid regurgitation, heartburn, chest discomfort and can't swallow properly.",gastroesophageal reflux disease
My problem is acid regurgitation along with can't swallow properly since a few days.,gastroesophageal reflux disease
"Doctor, I'm dealing with painful throat and acid regurgitation for a while now.",gastroesophageal reflux disease
"Doctor, I've been experiencing a bit acid regurgitation, can't swallow properly, also heartburn.",gastroesophageal reflux disease
My problem is chest discomfort and painful throat recently.,gastroesophageal reflux disease
"I've been experiencing painful throat, chest discomfort, also acid regurgitation and I don't know what to do.",gastroesophageal reflux disease
"I have acid regurgitation, heartburn, chest discomfort and painful throat.",gastroesophageal reflux disease
"I'm suffering from my throat is killing me, acid regurgitation, chest discomfort and heartburn for a while now.",gastroesophageal reflux disease
"I keep experiencing acid regurgitation, scratchy throat and chest discomfort since a few days.",gastroesophageal reflux disease
"I feel can't swallow properly, acid regurgitation and chest discomfort.",gastroesophageal reflux disease
"I have coughing constantly, heartburn, can't swallow properly, acid regurgitation and also chest discomfort recently.",gastroesophageal reflux disease
"I feel acid regurgitation, bloating, heartburn and chest discomfort recently.",gastroesophageal reflux disease
"The issue I'm facing is bloating, can't stop coughing, chest discomfort and acid regurgitation.",gastroesophageal reflux disease
"I've been experiencing bloating, can't swallow properly, acid regurgitation and heartburn and it's getting worse.",gastroesophageal reflux disease
"I'm suffering from heartburn, chest discomfort, acid regurgitation, coughing constantly, bloating and also my throat is killing me.",gastroesophageal reflux disease
"Doctor, I'm dealing with scratchy throat, bloating, acid regurgitation, can't stop coughing, heartburn and chest discomfort and I don't know what to do.",gastroesophageal reflux disease
"Recently I've been having heartburn, bloating, acid regurgitation, painful throat, a nagging cough and chest discomfort.",gastroesophageal reflux disease
"I've been experiencing heartburn, bloating, persistent cough and acid regurgitation recently.",gastroesophageal reflux disease
"I have painful throat, heartburn, chest discomfort, a nagging cough, bloating plus acid regurgitation and I don't know what to do.",gastroesophageal reflux disease
"Doctor, I'm dealing with chest discomfort, acid regurgitation, heartburn, bloating and painful throat.",gastroesophageal reflux disease
"My problem is scratchy throat, heartburn, acid regurgitation, chest discomfort, a nagging cough plus trouble with swallowing recently.",gastroesophageal reflux disease
"Been having trouble with swallowing, heartburn and acid regurgitation recently.",gastroesophageal reflux disease
"I've been dealing with heartburn, persistent cough, acid regurgitation, bloating, trouble with swallowing, chest discomfort and painful throat for a while now.",gastroesophageal reflux disease
"Doctor, I'm struggling with acid regurgitation, my throat is killing me along with can't stop coughing.",gastroesophageal reflux disease
"Recently I've been dealing with coughing constantly, heartburn, trouble with swallowing, bloating, chest discomfort, acid regurgitation plus scratchy throat since a few days.",gastroesophageal reflux disease
"I keep having painful throat, chest discomfort, bloating, a nagging cough and acid regurgitation recently.",gastroesophageal reflux disease
"My problem is heartburn, persistent cough, my throat is killing me and bloating and I'm worried.",gastroesophageal reflux disease
"I keep feeling can't swallow properly, heartburn, chest discomfort, bloating and also trouble with swallowing and it's getting worse.",gastroesophageal reflux disease
"I keep feeling persistent cough, heartburn and trouble with swallowing since a few days.",gastroesophageal reflux disease
"Been having bloating, acid regurgitation and chest discomfort since a few days.",gastroesophageal reflux disease
I have bloating and acid regurgitation for a while now.,gastroesophageal reflux disease
I keep feeling heartburn and chest discomfort and I'm worried.,gastroesophageal reflux disease
"What's bothering me is acid regurgitation, also bloating and I don't know what to do.",gastroesophageal reflux disease
"I'm suffering from acid regurgitation, chest discomfort and bloating.",gastroesophageal reflux disease
"I have heartburn, bloating, acid regurgitation and chest discomfort.",gastroesophageal reflux disease
"Recently I've started having bloating, acid regurgitation along with chest discomfort and I'm worried.",gastroesophageal reflux disease
I've been experiencing heartburn plus chest discomfort since a few days.,gastroesophageal reflux disease
"I have acid regurgitation, chest discomfort along with bloating for a while now.",gastroesophageal reflux disease
"Doctor, I'm dealing with chest discomfort, bloating, heartburn and acid regurgitation since a few days.",gastroesophageal reflux disease
"I keep feeling acid regurgitation, chest discomfort, heartburn and bloating since a few days.",gastroesophageal reflux disease
"Doctor, I'm dealing with trouble with swallowing, acid regurgitation combined with heartburn and it's getting worse.",gastroesophageal reflux disease
"I've been dealing with acid regurgitation, bloating along with trouble with swallowing.",gastroesophageal reflux disease
"Doctor, I've been having bloating, trouble with swallowing, acid regurgitation and heartburn.",gastroesophageal reflux disease
"Lately I've had acid regurgitation, heartburn plus chest discomfort for a while now.",gastroesophageal reflux disease
Lately I've had bloating and acid regurgitation recently.,gastroesophageal reflux disease
"I keep feelin acid regurgitation, chest discomfort, bloating, heartburn and also trouble with swallowing.",gastroesophageal reflux disease
"I'm suffering from bloating, acid regurgitation, heartburn and chest discomfort for a while now.",gastroesophageal reflux disease
"I've been experiencing heartburn, bloating, chest discomfort and trouble with swallowing for a while now.",gastroesophageal reflux disease
"I feel bloating, chest discomfort, trouble with swallowing and acid regurgitation.",gastroesophageal reflux disease
"Doctor, I'm dealing with trouble with swallowing, chest discomfort plus acid regurgitation.",gastroesophageal reflux disease
"I've been experiencing throbbing head pain, eye redness, pain behind my eyes, the urge to vomit, halos around lights and losing my vision and I don't know what to do.",glaucoma
"Over the past few days I've noticed can't see well, halos around lights, my head's been pounding, eye redness nd queasiness for a while now.",glaucoma
"My problem is eye ache, eye redness as well as constant headaches and I'm worried.",glaucoma
"I keep having eye redness, pain behind my eyes, halos around lights, feelin sick to my stomach and throbbing head pain.",glaucoma
"Lately I've had pain behind my eyes, losing my vision, halos around lights and the urge to vomit recently.",glaucoma
"I keep feelin can't see well, my head's been pounding, upset stomach, eye ache and halos around lights and it's getting worse.",glaucoma
"my issue is queasiness, terrible head pain, eye redness, halos around lights and also pain behind my eyes and it's getting worse.",glaucoma
"I've been going through eye ache, halos around lights, constant headaches and upset stomach and it's getting worse.",glaucoma
"I've been dealing with constant headaches, vision is blurry, upset stomach, eye redness, halos around lights, eyes are hurting and also can't see well.",glaucoma
"Doctor, I'm dealing with losing my vision, eye ache, feeling sick to my stomach, eye redness, halos around lights, can't see clearly plus terrible head pain.",glaucoma
"Recently I've been having my head's been pounding, losing my vision plus queasiness and I'm worried.",glaucoma
"I've been experiencing halos around lights, hazy eyesight, constant headaches, eye redness and vision going bad and it's getting worse.",glaucoma
"I've been dealing with eye redness, vision going bad, feeling sick to my stomach, halos around lights, vision is blurry and also throbbing head pain.",glaucoma
"I wanted to tell you about terrible head pain, the urge to vomit, halos around lights, can't see clearly, vision going bad plus eye redness for a while now.",glaucoma
"I keep feeling halos around lights, eye redness, my head's been pounding and upset stomach since a few days.",glaucoma
"I've been experiencing halos around lights, eye ache, hazy eyesight and vision going bad and I'm worried.",glaucoma
"Been having halos around lights, hazy eyesight, eyes are hurting and can't see well.",glaucoma
"I keep having can't see clearly, halos around lights, vision going bad nd eye ache and I don't know what to do.",glaucoma
"Doctor, I'm dealing with feels like halos around lights, pain behind my eyes plus vision going bad for a while now.",glaucoma
"I've been struggling with can't see well, halos around lights, hazy eyesight and eyes are hurting.",glaucoma
"I have halos around lights, constant headaches, also eye redness and it's getting worse.",glaucoma
"I keep having a bit queasiness, constant headaches as well as halos around lights and I'm worried.",glaucoma
"Lately I've had eye redness, halos around lights combined with upset stomach and I don't know what to do.",glaucoma
I feel queasiness as well as throbbing head pain.,glaucoma
I have queasiness and eye redness recently.,glaucoma
"Doctor, I'm dealing with limited movement plus tender joints since a few days.",gout
Been having sudden pain onset combined with redness in joints recently.,gout
"Recently I've been having sudden pain onset, redness in joints along with limited movement recently.",gout
"I have redness in joints, tender joints as well as sudden pain onset.",gout
"Recently I've been experiencing tender joints, sudden pain onset, redness in joints and limited movement.",gout
"I keep having a bit puffiness, sudden pain onset, limited movement, tender joints and aching joints and I'm worried.",gout
"For a while now I've had puffiness, sudden pain onset, joints hurting bad and tender joints since a few days.",gout
"Been having sudden pain onset, limited movement as well as sore joints.",gout
"Been having limited movement, sudden pain onset, my body looks swollen and tender joints.",gout
"I've been experiencing sudden pain onset, limited movement, my body looks swollen and pain in my joints recently.",gout
"I wanted to tell you about joints hurting bad, limited movement combined with warmth in joints and it's getting worse.",gout
"I've been dealing with visible swelling, aching joints, limited movement, redness in joints and warmth in joints recently.",gout
I keep having limited movement and redness in joints.,gout
I keep feeling redness in joints and warmth in joints and I don't know what to do.,gout
Recently I've been having warmth in joints and visible swelling and it's getting worse.,gout
"I keep getting tender joints, sore joints, sudden pain onset, warmth in joints and also puffiness recently.",gout
"I keep feeling sudden pain onset, warmth in joints, sore joints and tender joints.",gout
"I keep noticing sudden pain onset, my body looks swollen, aching joints, tender joints and warmth in joints and it's getting worse.",gout
"Doctor, I'm dealing with warmth in joints and visible swelling since a few days.",gout
"Lately I've had aching joints, puffiness, tender joints and sudden pain onset.",gout
"Lately I've had sudden pain onset, warmth in joints, redness in joints, joints hurting bad and swollen area.",gout
"I'm suffering from redness in joints, tender joints, warmth in joints and swollen area.",gout
"I've been experiencing pain in my joints, warmth in joints, puffiness, tender joints, sudden pain onset and redness in joints and it's getting worse.",gout
"My problem is visible swelling, pain in my joints along with tender joints for a while now.",gout
"Lately I've had sudden pain onset, warmth in joints, tender joints and swollen area.",gout
"Lately I've had feeling unsteady, pain in left arm, tightness in my chest and sweating and I'm worried.",heart risk warning
"I've been dealing with a bit feeling completely worn out, pain in my chest, hard to breathe and feeling sick to my stomach for a while now.",heart risk warning
"I've been dealing with tightness in my chest, wooziness, pain in left arm, sweating, always tired and the urge to vomit.",heart risk warning
"Lately I've had hard to breathe, feeling completely worn out, chest hurts, pain in left arm, sweating and queasiness and I don't know what to do.",heart risk warning
"I keep having dizzy spells, breathlessness, feeling drained, sharp chest pain, pain in left arm and the urge to vomit.",heart risk warning
"Recently I've been having feeling unsteady, chest hurts, feeling drained and feeling sick to my stomach recently.",heart risk warning
"I've been dealing with pain in my chest, sweating, pain in left arm, lightheadedness, upset stomach and trouble catching my breath.",heart risk warning
"Been having pain in left arm, trouble catching my breath and exhaustion and I'm worried.",heart risk warning
"I feel always tired, pain in left arm, sweating, sharp chest pain, dizzy spells and breathlessness.",heart risk warning
"I keep having breathlessness, lightheadedness, always tired, sweating, pain in left arm, queasiness and chest hurts.",heart risk warning
"These days I've been having pain in left arm, hard to breathe, always tired and chest hurts and it's getting worse.",heart risk warning
My problem is pain in left arm and sweating.,heart risk warning
Been having pain in left arm and hard to breathe.,heart risk warning
"Recently I've been having kinda low energy, tightness in my chest, pain in left arm and sweating for a while now.",heart risk warning
I've been experiencing kinda getting winded easily combined with feelin completely worn out for a while now.,heart risk warning
"I've been experiencing pain in left arm, tiredness combined with sharp chest pain nd it's getting worse.",heart risk warning
I feel pain in left arm as well as sweating and it's getting worse.,heart risk warning
My problem is hard to breathe as well as sweating and I don't know what to do.,heart risk warning
I keep feeling tightness in my chest and sweating and I'm worried.,heart risk warning
"I've been dealing with feelin drained, pain in my chest, sweating and pain in left arm and it's getting worse.",heart risk warning
Lately I've had sweating as well as pain in left arm since a few days.,heart risk warning
"I have dizzy spells, breathlessness, sweating, pain in left arm and chest hurts for a while now.",heart risk warning
"I've been having pain in left arm, sharp chest pain, sweating and breathlessness and it's getting worse.",heart risk warning
I have pain in left arm as well as sweating for a while now.,heart risk warning
"I've been dealing with pain in left arm, sweating, pain in my chest and a spinning feeling and it's getting worse.",heart risk warning
I have sweating combined with feeling unsteady recently.,heart risk warning
"I'm going through sweating, pain in left arm and breathlessness recently.",heart risk warning
"I'm troubled by trouble catching my breath, pain in left arm plus pain in my chest.",heart risk warning
"I feel getting winded easily, a spinning feeling, sweating and chest hurts for a while now.",heart risk warning
"Lately I've had sweating, lightheadedness as well as trouble catching my breath.",heart risk warning
"I keep feeling pain in left arm, breathlessness, feeling drained and a spinning feeling and I don't know what to do.",heart risk warning
"I have sweating, pain in left arm, also breathlessness and I don't know what to do.",heart risk warning
"Recently I've been having sweating, chest hurts and wooziness and I'm worried.",heart risk warning
"Recently I've been dealing with tiredness, sharp chest pain, lightheadedness, pain in left arm and sweating for a while now.",heart risk warning
"I have sharp chest pain, low energy, sweating, pain in left arm, feeling unsteady and also getting winded easily and it's getting worse.",heart risk warning
"Recently I've been having wooziness, trouble catching my breath, feeling completely worn out and sweating and I don't know what to do.",heart risk warning
"I've been experiencing feeling drained, hard to breathe and a spinning feeling for a while now.",heart risk warning
"I have feeling unsteady, sweating, tiredness, pain in my chest, pain in left arm and hard to breathe since a few days.",heart risk warning
"I wanted to tell you about sweating, pain in my chest, exhaustion, pain in left arm, feelin unsteady and also getting winded easily and I don't know what to do.",heart risk warning
"I keep noticing chest hurts, feeling completely worn out, trouble catching my breath and a spinning feeling recently.",heart risk warning
"I'm suffering from hard to breathe, sharp chest pain, pain in left arm and feeling sick to my stomach.",heart risk warning
I'm suffering from the urge to vomit combined with sweating.,heart risk warning
"my issue is getting winded easily, pain in left arm, feeling sick to my stomach and sweating and I'm worried.",heart risk warning
"I feel pain in left arm, hard to breathe, chest hurts and sweating recently.",heart risk warning
"I wanted to tell you about queasiness, sweating, chest hurts and pain in left arm and it's getting worse.",heart risk warning
I keep having the urge to vomit and pain in left arm.,heart risk warning
"Lately I've been dealing with feeling sick to my stomach, sweating, hard to breathe, sharp chest pain plus pain in left arm for a while now.",heart risk warning
"I've been experiencing sweating, the urge to vomit, tightness in my chest, pain in left arm and trouble catching my breath since a few days.",heart risk warning
"I keep experiencing sweating, pain in left arm, also trouble catching my breath.",heart risk warning
"Been having pain in my chest, trouble catching my breath, queasiness and pain in left arm since a few days.",heart risk warning
"Doctor, I've been experiencing brown colored urine, yellow eyes, the urge to vomit and feeling drained for a while now.",hepatitis
"I've been dealing with urine is really dark, tummy ache, high temperature, tiredness, yellow eyes and upset stomach and it's getting worse.",hepatitis
"My problem is yellowing of my skin, brown colored urine, high temperature, tummy ache plus feeling sick to my stomach.",hepatitis
"I've been experiencing yellowing of my skin, queasiness as well as my body's been burning up for a while now.",hepatitis
"I have my pee looks dark, exhaustion, the urge to vomit, tummy ache plus yellow eyes.",hepatitis
"I've been experiencing queasiness, yellow eyes combined with my pee looks dark and I'm worried.",hepatitis
"Recently I've been having lost my appetite, brown colored urine, yellow eyes and the urge to vomit.",hepatitis
"I feel yellow eyes, no desire to eat, brown colored urine and queasiness recently.",hepatitis
"Lately I've had the urge to vomit, also yellow eyes and I'm worried.",hepatitis
I keep feeling the urge to vomit and no desire to eat recently.,hepatitis
I'm dealing with brown colored urine nd no desire to eat and it's getting worse.,hepatitis
"I've been dealing with brown colored urine, tummy ache, no desire to eat and always tired and it's getting worse.",hepatitis
"I keep feeling pain in my belly, exhaustion along with no desire to eat.",hepatitis
I wanted to tell you about pain in my belly and urine is really dark and it's getting worse.,hepatitis
I keep feeling no desire to eat along with low energy for a while now.,hepatitis
"I've been dealing with lost my appetite, queasiness along with urine is really dark and it's getting worse.",hepatitis
"I have skin turned yellow, not feeling hungry at all, feeling sick to my stomach and my body's been burning up and I don't know what to do.",hepatitis
"I feel low energy, lost my appetite, yellowing of my skin, high temperature, brown colored urine and also queasiness.",hepatitis
"The issue I'm facing is the urge to vomit, my pee looks dark, running a temperature and can't eat properly.",hepatitis
"I've been going through urine is really dark, can't eat properly, my body's been burning up, upset stomach and yellowing of my skin and I don't know what to do.",hepatitis
"Doctor, I'm dealing with yellow eyes, my body's been burning up, feeling completely worn out, tummy ache and no desire to eat since a few days.",hepatitis
"Lately I've had can't eat properly, skin turned yellow, always tired, my body's been burning up, stomach cramps and my pee looks dark and it's getting worse.",hepatitis
"My problem is stomach cramps, running a temperature, low energy, yellowing of my skin plus brown colored urine.",hepatitis
"Been having my pee looks dark, low energy and lost my appetite and it's getting worse.",hepatitis
"I've been dealing with skin turned yellow, urine is really dark, also can't eat properly.",hepatitis
"Doctor, I'm dealing with nosebleeds, my head's been pounding, exhaustion, sharp chest pain and hazy eyesight.",hypertension
I'm suffering from nosebleeds plus my head's been pounding and it's getting worse.,hypertension
I have low energy and chest hurts for a while now.,hypertension
"I'm suffering from terrible head pain, tightness in my chest, nosebleeds and fuzzy vision.",hypertension
Been having can't see clearly and throbbing head pain.,hypertension
I keep feeling tightness in my chest combined with terrible head pain and I don't know what to do.,hypertension
"Recently I've been having hazy eyesight, low energy and my head's been pounding since a few days.",hypertension
"I feel tightness in my chest, constant headaches, feeling completely worn out and nosebleeds.",hypertension
"Recently I've started having terrible head pain, vision is blurry and nosebleeds since a few days.",hypertension
"I'm struggling with tightness in my chest, my head's been pounding, hazy eyesight and nosebleeds.",hypertension
"I have tightness in my chest, can't see clearly and breathlessness for a while now.",hypertension
"I keep having nosebleeds, can't see clearly, tightness in my chest, trouble catching my breath and feeling unsteady.",hypertension
I've been dealing with hazy eyesight and chest hurts and I'm worried.,hypertension
"I'm suffering from nosebleeds, tightness in my chest and getting winded easily and I'm worried.",hypertension
"I keep experiencing getting winded easily, pain in my chest, fuzzy vision, dizzy spells and nosebleeds and I'm worried.",hypertension
"I've been struggling with feeling unsteady, hard to breathe plus nosebleeds, worried",hypertension
"I keep having sharp chest pain, getting winded easily, nosebleeds and a spinning feeling since a few days.",hypertension
"Recently I've been having nosebleeds, hard to breathe, sharp chest pain and can't see clearly.",hypertension
"I wanted to tell you about nosebleeds, fuzzy vision, also feeling unsteady for a while now.",hypertension
"Over the past few days I've noticed can't see clearly, nosebleeds, a spinning feeling and sharp chest pain.",hypertension
"I feel constant headaches, low energy, breathlessness, feeling unsteady and chest hurts and I don't know what to do.",hypertension
"Been having trouble catching my breath, feelin drained, a spinning feeling, pain in my chest and my head's been pounding.",hypertension
"I'm suffering from dizzy spells, breathlessness, tightness in my chest, terrible head pain and low energy since a few days.",hypertension
"I keep having always tired, pain in my chest, throbbing head pain and getting winded easily.",hypertension
"My problem is dizzy spells, feeling drained, sharp chest pain, throbbing head pain and trouble catching my breath and I'm worried.",hypertension
"I wanted to tell you about getting winded easily, sharp chest pain, my head's been pounding and feeling completely worn out since a few days.",hypertension
"Doctor, I'm struggling with dizzy spells, also tightness in my chest and I'm worried.",hypertension
"I've been dealing with trouble catching my breath, throbbing head pain plus pain in my chest and I don't know what to do.",hypertension
I'm suffering from lightheadedness along with breathlessness recently tbh,hypertension
I'm suffering from trouble catching my breath and my head's been pounding recently.,hypertension
"I keep feeling lightheadedness, chest hurts, getting winded easily and my head's been pounding and I don't know what to do.",hypertension
"I've been experiencing nosebleeds, constant headaches, chest hurts, a spinning feeling and also getting winded easily since a few days.",hypertension
"Lately I've had sharp chest pain, constant headaches, a spinning feeling, hard to breathe plus nosebleeds.",hypertension
"Doctor, I'm dealing with nosebleeds, getting winded easily, chest hurts and terrible head pain and I don't know what to do.",hypertension
What's bothering me is feeling unsteady and nosebleeds.,hypertension
I've been dealing with my head's been pounding combined with chest hurts.,hypertension
"Been having lightheadedness, terrible head pain, nosebleeds, tightness in my chest and also breathlessness for a while now.",hypertension
"I keep having nosebleeds, getting winded easily combined with terrible head pain and I don't know what to do.",hypertension
"Recently I've been having chest hurts, hard to breathe along with nosebleeds and it's getting worse.",hypertension
"I keep having dizzy spells, hard to breathe, nosebleeds, my head's been pounding nd also tightness in my chest for a while now.",hypertension
"Doctor, I'm dealing with fuzzy vision, tiredness combined with feeling unsteady for a while now.",hypertension
"Recently I've been experiencing lightheadedness, also tiredness and it's getting worse.",hypertension
"I have always tired, vision is blurry along with feeling unsteady since a few days.",hypertension
"Been having wooziness, also feeling drained and I'm worried.",hypertension
"I keep having wooziness, tightness in my chest combined with feeling drained.",hypertension
"I have exhaustion, wooziness as well as chest hurts and it's getting worse.",hypertension
"Been having hazy eyesight, low energy, pain in my chest and wooziness recently.",hypertension
"I wanted to tell you about fuzzy vision, a spinning feeling, low energy and pain in my chest.",hypertension
"I've been dealing with lightheadedness, tightness in my chest and feeling completely worn out recently.",hypertension
"I've been dealing with chest hurts, tiredness, feeling unsteady and can't see clearly for a while now.",hypertension
"Doctor, I've been having hands keep shaking, anxiety, tiredness, sweating and heart racing recently.",hyperthyroidism
"I'm suffering from always tired, losing weight unexpectedly, anxiety, heart racing, involuntary shaking, heat intolerance and sweating recently.",hyperthyroidism
"My problem is heart pounding, always tired, losing weight unexpectedly, heat intolerance, sweating plus involuntary shaking recently.",hyperthyroidism
"Doctor, I'm dealing with exhaustion, heart racing combined with heat intolerance.",hyperthyroidism
"Recently I've been having losing weight unexpectedly, uncontrollable trembling, heart racing, tiredness plus anxiety since a few days.",hyperthyroidism
"I'm going through involuntary shaking, heart pounding, losing weight unexpectedly, sweating plus anxiety recently.",hyperthyroidism
"I keep feeling sweating, involuntary shaking, palpitations, unintentional weight drop, heat intolerance and also anxiety and it's getting worse.",hyperthyroidism
"I have involuntary shaking, heat intolerance combined with anxiety since a few days.",hyperthyroidism
"I have anxiety, sweating, heat intolerance, heart racing and hands keep shaking and I don't know what to do.",hyperthyroidism
"I'm suffering from uncontrollable trembling, anxiety, heat intolerance and dropping weight without trying.",hyperthyroidism
I feel dropping weight without trying and sweating since a few days.,hyperthyroidism
"Doctor, I'm dealing with heat intolerance and unintentional weight drop.",hyperthyroidism
"keep feeling sweating, heat intolerance along with heart pounding and it's getting worse.",hyperthyroidism
"I wanted to tell you about dropping weight without trying, sweating and heat intolerance and it's getting worse.",hyperthyroidism
"I feel sweating, palpitations as well as unintentional weight drop and I don't know what to do.",hyperthyroidism
Lately I've had heat intolerance as well as sweating.,hyperthyroidism
For a while now I've had dropping weight without trying and heat intolerance and I don't know what to do.,hyperthyroidism
"Lately I've had heat intolerance, sweating, anxiety, dropping weight without trying and heart racing recently.",hyperthyroidism
"I keep noticing dropping weight without trying, heart racing plus anxiety for a while now.",hyperthyroidism
"I keep having palpitations, anxiety, losing weight unexpectedly and sweating.",hyperthyroidism
"I've been experiencing anxiety, low energy plus losing weight unexpectedly.",hyperthyroidism
"I've been dealing with heart racing, losing weight unexpectedly, sweating and hands keep shaking and I don't know what to do.",hyperthyroidism
"Been having trembling hands, sweating, losing weight unexpectedly, anxiety and also exhaustion for a while now.",hyperthyroidism
"I've been experiencing losing weight unexpectedly, anxiety along with sweating recently.",hyperthyroidism
"Doctor, I'm dealing with uncontrollable trembling, anxiety, fast heartbeat and dropping weight without trying since a few days.",hyperthyroidism
"I wanted to tell you about tiredness, depression and can't pass stool and I don't know what to do.",hypothyroidism
"Doctor, I'm dealing with feels like exhaustion, cold intolerance, weight gain, trouble in the bathroom plus depression since a few days.",hypothyroidism
"Recently I've been having depression, weight gain, cold intolerance, feeling drained and also hard stools since a few days.",hypothyroidism
"My problem is hard stools, weight gain, exhaustion, depression and also cold intolerance since a few days.",hypothyroidism
"Lately I've had feeling completely worn out, depression, can't pass stool, weight gain and also cold intolerance.",hypothyroidism
"My problem is low energy, depression, cold intolerance, dry skin and also hair loss and it's getting worse.",hypothyroidism
I feel hair loss plus cold intolerance and I'm worried.,hypothyroidism
"I feel cold intolerance, hair loss, dry skin and depression and I'm worried.",hypothyroidism
"Been having depression, feelin completely worn out, cold intolerance, hair loss and dry skin.",hypothyroidism
"Been having cold intolerance, depression and dry skin.",hypothyroidism
"I have dry skin, weight gain, feeling drained and cold intolerance for a while now.",hypothyroidism
"I've been experiencing depression, dry skin n cold intolerance.",hypothyroidism
"My problem is dry skin, depression, exhaustion and weight gain.",hypothyroidism
"I've been experiencing always tired, weight gain, depression n dry skin and I'm worried.",hypothyroidism
"I've been having weight gain, cold intolerance, depression, exhaustion and dry skin recently.",hypothyroidism
"I feel hard stools, hair loss, exhaustion, cold intolerance and also dry skin and it's getting worse.",hypothyroidism
"I'm suffering from depression, hair loss, always tired, cold intolerance, dry skin and also can't go to the bathroom.",hypothyroidism
"I'm dealing with hair loss, feelin completely worn out, dry skin nd cold intolerance.",hypothyroidism
"Doctor, I'm dealing with cold intolerance, hair loss, trouble in the bathroom, low energy, dry skin and depression.",hypothyroidism
"I've been dealing with cold intolerance, tiredness, depression and hair loss and I'm worried.",hypothyroidism
"keep feeling dry skin, tiredness, trouble in the bathroom, cold intolerance, hair loss and depression and I'm worried.",hypothyroidism
"Recently I've been having weight gain, dry skin, hard stools, feeling completely worn out, hair loss, depression and cold intolerance and I'm worried.",hypothyroidism
"I wanted to tell you about depression, tiredness, hair loss and cold intolerance and I'm worried.",hypothyroidism
"I wanted to tell you about dry skin, cold intolerance, depression, low energy and hair loss for a while now.",hypothyroidism
"My problem is cold intolerance, trouble in the bathroom, dry skin, exhaustion, depression and also weight gain since a few days.",hypothyroidism
"I'm troubled by red sores, my body looks swollen, blisters, skin irritation, honey-colored crust plus mild pain.",impetigo
"I've been experiencing honey-colored crust, visible swelling, red sores, mild pain, skin irritation and blisters since a few days.",impetigo
"I have swollen area, honey-colored crust, mild pain, skin irritation, blisters and red sores.",impetigo
"I keep feeling honey-colored crust, mild pain, blisters, swollen area and red sores.",impetigo
"I've been dealing with honey-colored crust, my body looks swollen, skin irritation and red sores.",impetigo
"I've been experiencing mild pain, blisters, honey-colored crust, swollen area, skin irritation and red sores and I don't know what to do.",impetigo
"Recently I've been having mild pain, skin irritation, visible swelling, honey-colored crust, blisters and red sores.",impetigo
"My problem is mild pain, honey-colored crust, skin irritation and blisters recently.",impetigo
"Recently I've been having red sores, honey-colored crust, blisters and my body looks swollen and it's getting worse.",impetigo
"I'm suffering from skin irritation, honey-colored crust, red sores, mild pain, blisters and also swollen area and I don't know what to do.",impetigo
"I wanted to tell you about visible swelling, honey-colored crust and skin irritation recently.",impetigo
"I keep getting red sores, skin irritation and my body looks swollen.",impetigo
"I have my body looks swollen, honey-colored crust and red sores.",impetigo
"Doctor, I've been experiencing swollen area, red sores, skin irritation and honey-colored crust since a few days.",impetigo
"Been having skin irritation, also my body looks swollen and I don't know what to do.",impetigo
"I have red sores, honey-colored crust, visible swelling and skin irritation.",impetigo
"I've been experiencing skin irritation, red sores, honey-colored crust and puffiness.",impetigo
"I keep feelin skin irritation, red sores combined with visible swelling and I don't know what to do.",impetigo
"Lately I've had red sores, swollen area, skin irritation and honey-colored crust and I don't know what to do.",impetigo
"Doctor, I'm dealing with puffiness, honey-colored crust, red sores and skin irritation for a while now.",impetigo
"I've been experiencing mild pain, constant scratching, swollen area, honey-colored crust and blisters and I don't know what to do.",impetigo
"I've been experiencing honey-colored crust, severe itching, blisters, puffiness, skin irritation plus red sores.",impetigo
"I wanted to tell you about mild pain, red sores, skin irritation and constant scratching and it's getting worse.",impetigo
"I keep having red sores, itchy skin and mild pain.",impetigo
"I've been dealing with my body looks swollen, constant scratching, blisters, skin irritation and red sores and it's getting worse.",impetigo
"I've been experiencing red sores, honey-colored crust plus blisters.",impetigo
"Lately I've had blisters, honey-colored crust, red sores, mild pain, skin irritation, swollen area and constant scratching and it's getting worse.",impetigo
"got severe itching, my body looks swollen, honey-colored crust, blisters, mild pain and also red sores.",impetigo
"Been having feels like my body looks swollen, mild pain, constant scratching and skin irritation recently.",impetigo
"Doctor, I'm dealing with red sores, itchy skin, blisters and visible swelling since a few days.",impetigo
"Doctor, I'm struggling with constant scratching, swollen area combined with honey-colored crust and it's getting worse.",impetigo
"I have blisters, honey-colored crust, skin irritation, can't stop itching and also swollen area for a while now.",impetigo
"I feel blisters, honey-colored crust, itchy skin, skin irritation and red sores.",impetigo
"Been having blisters, skin irritation, also red sores and I'm worried.",impetigo
